cid,Name,BirthDate,Height,Weight,YearStart,YearEnd,Position,PositionsPlayed,College,GP,MIN,PTS,FGM,FGA,FGPer,X3PMade,X3PA,X3Per,FTM,FTA,FTPer,OREB,DREB,REB,AST,STL,BLK,TOV,TARGET_5Yrs,RandomSort,School_power,Birth_Month
897,Mike Harper,9-Dec-57,82,195,1981,1982,C-F,2,North Park University,55,8.4,2.7,1,2.5,41.2,0,0.1,0,0.7,1.5,43.5,0.5,1.2,1.7,0.3,0.4,0.4,0.6,0,0.456867621,scrappy,Dec
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,Quentin Richardson,13-Apr-80,78,223,2001,2013,G,1,DePaul University,76,17.9,8.1,3.1,6.9,44.2,0.7,2,33.1,1.3,2.1,62.7,1.4,2,3.4,0.8,0.6,0.1,0.8,1,0.13821702,Power,Apr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,Steven Smith,12-Apr-83,80,235,2007,2007,F,1,La Salle University,61,29.6,12,4.9,10.7,45.4,0.7,2,32,1.6,2.1,74.8,1.3,1.8,3.1,4.6,1,0.3,2.5,0,0.718999693,Mid,Apr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,Harrison Barnes,30-May-92,80,210,2013,2018,F,1,University of North Carolina,81,25.4,9.2,3.4,7.8,43.9,0.6,1.8,35.9,1.8,2.3,75.8,0.7,3.5,4.1,1.2,0.6,0.2,1.3,1,0.235219218,Power,May
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Ben McLemore,11-Feb-93,77,195,2014,2018,G,1,University of Kansas,82,26.7,8.8,3.1,8.3,37.6,1.2,3.6,32,1.4,1.7,80.4,0.6,2.2,2.9,1,0.6,0.2,1.2,0,0.333689269,Power,Feb
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,Lorenzo Williams,15-Jul-69,81,200,1993,2000,F-C,2,Stetson University,27,6.6,1.3,0.6,1.3,47.2,0,0,0,0.1,0.3,28.6,0.6,1.4,2,0.2,0.2,0.6,0.3,1,0.865947737,scrappy,Jul
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Charles Jones,17-Jul-75,75,180,1999,2000,G,1,Long Island University,78,20.1,8.4,3,5.8,52,0,0.1,0,2.3,3.6,64.8,1.8,3.3,5.1,1.6,0.6,0.8,1.8,1,0.367899297,scrappy,Jul
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,Mark Randall,30-Sep-67,80,235,1992,1995,F,1,University of Kansas,54,8.2,3.2,1.3,2.8,45.6,0.1,0.3,18.8,0.6,0.8,74.4,0.7,0.6,1.3,0.6,0.2,0.1,0.5,0,0.588748188,Power,Sep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Cliff Levingston,4-Jan-61,80,210,1983,1995,F,1,Wichita State University,62,14.2,5.6,2.1,4.4,48.5,0,0,0,1.4,2.4,57.1,1.7,2.1,3.7,0.8,0.4,0.6,1.2,1,0.186848476,scrappy,Jan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,MarShon Brooks,26-Jan-89,77,200,2012,2014,G-F,2,Providence College,56,29.4,12.6,4.9,11.4,42.8,0.8,2.7,31.3,2,2.6,76.4,1.3,2.3,3.6,2.3,0.9,0.3,2.1,0,0.025503401,Power,Jan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,Nerlens Noel,10-Apr-94,83,228,2015,2018,C-F,2,University of Kentucky,75,30.8,9.9,4,8.7,46.2,0,0,0,1.9,3.1,60.9,2.5,5.7,8.1,1.7,1.8,1.9,1.9,0,0.252716407,Power,Apr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,Markieff Morris,2-Sep-89,82,245,2012,2018,F,1,University of Kansas,63,19.5,7.4,2.8,6.9,39.9,0.7,2,34.7,1.2,1.7,71.7,1.1,3.3,4.4,1,0.7,0.7,1.1,1,0.182378377,Power,Sep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,Matt Carroll,28-Aug-80,78,212,2004,2013,G,1,University of Notre Dame,16,4.4,1.2,0.4,1,43.8,0.1,0.2,33.3,0.3,0.4,66.7,0.1,0.3,0.4,0.1,0.1,0,0.4,1,0.007360505,Power,Aug
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,Duane Cooper,25-Jun-69,73,185,1993,1994,G,1,University of Southern California,65,9.9,2.4,1,2.4,39.2,0.1,0.5,23.3,0.4,0.5,71.4,0.2,0.6,0.8,2.3,0.3,0,1.1,0,0.780784834,Mid,Jun
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,Khalid El-Amin,25-Apr-79,70,200,2001,2001,G,1,University of Connecticut,50,18.7,6.3,2.3,6.2,37,0.6,1.7,33.3,1.1,1.4,77.8,0.4,1.2,1.6,2.9,1,0,1.1,0,0.500057793,Power,Apr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,Michael Smith,28-Mar-72,80,230,1995,2001,F,1,Providence College,65,9.5,5,2.1,4.4,47.6,0,0.4,7.1,0.8,1,82.8,0.6,0.9,1.5,1.2,0.1,0,0.8,1,0.405105634,Power,Mar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Craig Neal,16-Feb-64,77,165,1989,1991,G,1,Georgia Institute of Technology,53,9.4,2.2,0.8,2.3,36.6,0.2,0.6,29.4,0.3,0.4,60.9,0.1,0.4,0.5,2.2,0.5,0.1,1,0,0.546771033,Power,Feb
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,Tim Kempton,25-Jan-64,82,245,1987,1998,F-C,2,University of Notre Dame,66,14.2,4.4,1.5,3.1,47.1,0,0,0,1.4,2.1,69.3,1.1,1.9,2.9,0.8,0.6,0.2,0.7,1,0.546286456,Power,Jan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Chris Jefferies,13-Feb-80,80,225,2003,2004,G-F,2,"California State University, Fresno",51,13.1,3.9,1.5,3.8,38.7,0.4,1.1,33.3,0.6,0.8,67.4,0.3,0.8,1.2,0.4,0.4,0.3,0.9,0,0.913995202,Power,Feb
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Corey Benjamin,24-Feb-78,78,200,1999,2003,G,1,Oregon State University,31,10.3,3.8,1.4,3.8,37.6,0.1,0.5,21.4,0.9,1.3,67.5,0.5,0.8,1.3,0.3,0.3,0.3,0.7,0,0.762541292,Mid,Feb
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,Jay Vincent,10-Jun-59,79,220,1982,1990,F,1,Michigan State University,81,32.4,21.4,8.9,17.9,49.7,0,0,25,3.6,5,71.6,2.2,4.7,7,2.2,1.1,0.3,2.4,1,0.248171045,Power,Jun
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,Jae Crowder,6-Jul-90,78,235,2013,2018,F,1,Marquette University,78,17.3,5,1.8,4.7,38.4,0.8,2.5,32.8,0.6,0.9,64.4,0.4,1.9,2.4,1.2,0.8,0.2,0.6,1,0.734815958,Power,Jul
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,Michael Brooks,17-Aug-58,79,220,1981,1988,F,1,La Salle University,82,30.2,14.7,6,12.4,47.9,0,0.1,0,2.8,3.9,70.6,2.6,2.8,5.4,2.5,1.2,0.4,2,1,0.979564298,Mid,Aug
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259,Walter McCarty,1-Feb-74,82,230,1997,2006,F,1,University of Kentucky,35,5.5,1.8,0.7,1.9,38.2,0.1,0.4,28.6,0.2,0.4,57.1,0.2,0.4,0.7,0.4,0.2,0.3,0.5,1,0.399451685,Power,Feb
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,Gerald Wallace,23-Jul-82,79,215,2002,2015,F,1,University of Alabama,54,8,3.2,1.4,3.2,42.9,0,0.1,0,0.4,0.9,50,0.9,0.7,1.6,0.5,0.3,0.1,0.4,1,0.39711992,Power,Jul
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,Jimmer Fredette,25-Feb-89,74,195,2012,2016,G,1,Brigham Young University,61,18.6,7.6,2.8,7.3,38.6,1.3,3.5,36.1,0.7,0.8,83.3,0.3,0.9,1.2,1.8,0.5,0.1,1.1,1,0.534405827,Mid,Feb
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Doug Roth,24-Aug-67,83,255,1990,1990,C,1,University of Tennessee,42,9.8,1.9,0.9,2,43,0,0,0,0.2,0.3,50,1,1.8,2.9,0.5,0.2,0.3,0.4,0,0.946663797,Power,Aug
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,Linton Townes,30-Nov-59,79,190,1983,1985,F-G,2,James Madison University,55,9.4,4.5,1.9,4.3,44.9,0.2,0.5,36,0.5,0.7,73.7,0.5,0.6,1.2,0.6,0.3,0.1,0.6,0,0.031038022,scrappy,Nov
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967,Pete Chilcutt,14-Sep-68,82,230,1992,2000,F-C,2,University of North Carolina,69,11.8,3.6,1.6,3.6,45.2,0,0,100,0.3,0.4,82.1,1.1,1.6,2.7,0.6,0.5,0.3,0.6,1,0.376339146,Power,Sep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,JaVale McGee,19-Jan-88,84,270,2009,2018,C,1,"University of Nevada, Reno",75,15.2,6.5,2.5,5.2,49.4,0,0,0,1.4,2.2,66,1.6,2.3,3.9,0.3,0.4,1,0.8,1,0.171635951,Mid,Jan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Chris Carr,12-Mar-74,77,207,1996,2001,G,1,Southern Illinois University,60,9.8,4,1.5,3.6,41.5,0.2,0.7,26.2,0.8,1,81.7,0.5,1.3,1.7,0.7,0.2,0.1,0.7,1,0.893268755,scrappy,Mar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,Monty Williams,8-Oct-71,80,225,1995,2003,F,1,University of Notre Dame,41,12.3,3.3,1.5,3.2,45.1,0,0.2,0,0.4,0.9,44.7,1,1.4,2.4,1.2,0.5,0.1,1,1,0.382828406,Power,Oct
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,Jordan Williams,11-Oct-90,82,260,2012,2012,F,1,University of Maryland,43,14.8,4.6,1.8,3.5,50.7,0,0,0,1,1.5,65.2,1.5,2.1,3.6,0.3,0.5,0.3,0.5,0,0.138745867,Power,Oct
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Damon Jones,25-Aug-76,75,185,1999,2009,G,1,University of Houston,24,14.3,5.2,1.8,5,36.1,1,2.6,40.3,0.6,0.7,82.4,0.3,1.6,1.8,1.8,0.5,0,0.7,1,0.17493087,Mid,Aug
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,Rodney Monroe,16-Apr-68,75,185,1992,1992,G,1,North Carolina State University,38,8.2,3.4,1.4,3.8,36.8,0.2,0.7,22.2,0.5,0.6,82.6,0.3,0.6,0.9,0.7,0.3,0.1,0.6,0,0.018491674,Power,Apr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,Lee Mayberry,12-Jun-70,73,172,1993,1999,G,1,University of Arkansas,82,18.3,5.2,2.1,4.6,45.6,0.5,1.3,39.1,0.5,0.8,57.4,0.3,1.1,1.4,3.3,0.7,0.1,1,1,0.850115859,Power,Jun
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,Paul George,2-May-90,81,220,2011,2018,F,1,"California State University, Fresno",61,20.7,7.8,2.9,6.5,45.3,0.7,2.3,29.7,1.3,1.7,76.2,0.6,3.1,3.7,1.1,1,0.4,1.1,1,0.27444078,Power,May
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,Josh Harrellson,12-Feb-89,82,275,2012,2014,C,1,University of Kentucky,37,14.6,4.4,1.7,4,42.3,0.5,1.6,33.9,0.4,0.7,61.5,1.3,2.6,3.9,0.3,0.6,0.5,0.5,0,0.348228352,Power,Feb
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,Kevin Burleson,9-Apr-79,75,205,2006,2006,G,1,University of Minnesota,39,8.7,1.8,0.6,2.3,25,0.3,1.4,18.5,0.4,0.4,94.1,0.1,0.6,0.7,1.2,0.7,0.1,0.6,0,0.179703458,Power,Apr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Corey Williams,24-Apr-70,74,190,1993,1994,G,1,Oklahoma State University,35,6.9,2.3,0.9,2.4,36.5,0,0.1,33.3,0.5,0.6,81.8,0.5,0.3,0.9,0.7,0.1,0.1,0.3,0,0.86224144,Power,Apr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,Larry Hughes,23-Jan-79,77,184,1999,2012,G,1,Saint Louis University,50,19.8,9.1,3.4,8.3,41.1,0.2,1,15.4,2.1,3,70.9,1.7,2.1,3.8,1.5,0.9,0.3,1.4,1,0.3069818,scrappy,Jan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,Mario West,19-Jun-84,77,210,2008,2011,G,1,Georgia Institute of Technology,64,4.2,0.9,0.3,0.8,42.9,0,0.1,0,0.3,0.4,65.4,0.4,0.3,0.8,0.2,0.2,0.1,0.1,0,0.147778328,Power,Jun
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Anthony Jones,13-Sep-62,78,195,1987,1990,G-F,2,"University of Nevada, Las Vegas",65,13.2,5,2,5,41.3,0.1,0.3,35,0.8,1,76.9,0.6,1,1.6,1.1,0.7,0.3,0.8,0,0.228101583,Power,Sep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,Mike Gminski,3-Aug-59,83,250,1981,1994,C,1,Duke University,56,28.2,13.2,5.2,12.3,42.3,0,0,0,2.8,3.6,76.7,2.4,5,7.5,1.3,1,1.8,2.3,1,0.511895091,Power,Aug
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,Mickell Gladness,26-Jul-86,83,220,2012,2012,C,1,Alabama A&M University,26,9.7,2.2,1,2.3,42.4,0,0,0,0.2,0.5,50,0.5,1.7,2.2,0.2,0.1,0.8,0.3,0,0.664936016,scrappy,Jul
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,Roy Hinson,2-May-61,81,210,1984,1991,F-C,2,Rutgers University,80,23.2,5.5,2.3,4.6,49.6,0,0,0,0.9,1.5,59,2.2,4.1,6.2,0.9,0.4,1.8,1.4,1,0.099251239,scrappy,May
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Bart Kofoed,24-Mar-64,76,210,1988,1993,G,1,University of Nebraska at Kearney,36,6.3,1.3,0.5,1.3,37.5,0.1,0.2,28.6,0.2,0.4,61.5,0.1,0.3,0.4,0.6,0.2,0,0.5,1,0.022920303,scrappy,Mar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Cal Bowdler,31-Mar-77,82,245,2000,2002,F,1,Old Dominion University,46,9.2,2.7,1.1,2.5,42.6,0,0,0,0.5,0.8,63.2,0.5,1.4,1.8,0.3,0.3,0.2,0.5,0,0.434996128,scrappy,Mar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Corey Maggette,12-Nov-79,78,218,2000,2013,F,1,Duke University,77,17.8,8.4,2.9,6.1,47.8,0,0.1,18.2,2.5,3.4,75.1,1.6,2.3,3.9,0.8,0.3,0.3,1.8,1,0.419128225,Power,Nov
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Brook Lopez,1-Apr-88,84,275,2009,2018,C,1,Stanford University,82,30.5,13,5.5,10.3,53.1,0,0,0,2.1,2.6,79.3,2.7,5.4,8.1,1,0.5,1.8,1.8,1,0.144226103,Power,Apr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Brandon Ingram,2-Sep-97,81,190,2017,2018,F,1,Duke University,36,27.4,7.4,2.6,7.6,34.7,0.5,2.1,25,1.6,2.3,69.9,0.7,3.4,4.1,1.9,0.4,0.4,1.3,0,0.461245537,Power,Sep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,Loren Woods,21-Jun-78,85,245,2002,2008,F-C,2,University of Arizona,60,8.6,1.8,0.6,1.6,34.4,0,0,0,0.7,1,73.3,0.8,1.3,2,0.4,0.3,0.6,0.6,1,0.293092982,Power,Jun
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,Hakim Warrick,8-Jul-82,81,219,2006,2013,F,1,Syracuse University,68,10.6,4.1,1.5,3.4,44.3,0,0,0,1.1,1.7,66.1,0.6,1.5,2.1,0.4,0.2,0.3,0.8,1,0.660982347,Power,Jul
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1266,Wesley Matthews,14-Oct-86,77,220,2010,2018,G,1,Marquette University,82,24.7,9.4,3.3,6.9,48.3,0.8,2,38.2,2,2.4,82.9,0.6,1.7,2.3,1.5,0.8,0.2,1.1,1,0.71661378,Power,Oct
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Andre Brown,12-May-81,81,245,2007,2009,F,1,DePaul University,38,7.1,2.4,1.1,1.9,56.8,0,0,0,0.2,0.4,60,0.7,1.3,1.9,0.1,0.2,0.1,0.8,0,0.159698423,Power,May
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Damian Lillard,15-Jul-90,75,195,2013,2018,G,1,Weber State University,82,38.6,19,6.7,15.7,42.9,2.3,6.1,36.8,3.3,3.9,84.4,0.5,2.6,3.1,6.5,0.9,0.2,3,1,0.175183618,scrappy,Jul
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Brad Sellers,17-Dec-62,84,210,1987,1993,C-F,2,Ohio State University,80,21.9,8.5,3.5,7.6,45.5,0,0.1,20,1.6,2.2,72.8,1.9,2.7,4.7,1.3,0.6,0.8,1.1,1,0.775839673,Power,Dec
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,Matt Barnes,9-Mar-80,79,226,2004,2017,F,1,"University of California, Los Angeles",38,19.1,4.5,1.7,3.6,45.7,0.1,0.3,15.4,1.1,1.6,70.5,1.4,2.6,4,1.3,0.7,0.1,1.2,1,0.79817206,Power,Mar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,Felton Spencer,15-Jan-68,84,265,1991,2002,C,1,University of Louisville,81,25.9,7.1,2.4,4.7,51.2,0,0,0,2.2,3.1,72.2,3.4,4.6,7.9,0.3,0.6,1.5,0.9,1,0.037965655,Power,Jan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Corny Thompson,5-Feb-60,80,225,1983,1983,F,1,University of Connecticut,44,11.8,2.8,1,3.1,31.4,0,0,0,0.8,1,78.3,0.9,1.8,2.7,0.8,0.3,0.2,0.7,0,0.022075549,Power,Feb
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,Jonathon Simmons,14-Sep-89,78,195,2016,2018,G-F,2,University of Houston,55,14.8,6,2.2,4.4,50.4,0.3,0.9,38.3,1.3,1.7,75,0.3,1.5,1.7,1.1,0.4,0.1,1,0,0.358376678,Mid,Sep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,Mason Plumlee,5-Mar-90,83,245,2014,2018,C-F,2,Duke University,70,18.2,7.4,2.8,4.3,65.9,0,0,0,1.7,2.8,62.6,1.4,3,4.4,0.9,0.7,0.8,1.1,0,0.197135672,Power,Mar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Dee Brown,17-Aug-84,72,185,2007,2009,G,1,University of Illinois at Urbana-Champaign,49,9.2,1.9,0.7,2,32.7,0.1,0.6,21.4,0.5,0.8,64.9,0.2,0.7,0.8,1.7,0.5,0.1,0.6,0,0.566083156,Power,Aug
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Craig Smith,10-Nov-83,79,250,2007,2012,F,1,Boston College,82,18.7,7.4,3,5.6,53.1,0,0.1,0,1.4,2.3,62.4,1.8,3.3,5.1,0.6,0.6,0.2,0.9,1,0.176653487,Mid,Nov
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Dominic McGuire,20-Oct-85,81,220,2008,2013,F,1,"California State University, Fresno",70,9.9,1.3,0.6,1.5,37.9,0,0.1,16.7,0.2,0.5,43.8,0.8,1.2,2,0.6,0.3,0.4,0.6,1,0.679984587,Power,Oct
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,Mark Radford,5-Jul-59,76,190,1982,1983,G,1,Oregon State University,43,8.6,3.4,1.3,2.3,54,0,0.1,66.7,0.8,1.6,50.7,0.3,0.4,0.7,1.3,0.4,0.1,1,0,0.619906256,Mid,Jul
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,Tom Garrick,7-Jul-66,74,185,1989,1992,G,1,University of Rhode Island,71,21.1,6.4,2.5,5.1,49,0,0.2,0,1.4,1.8,80.3,0.5,1.7,2.2,3.4,1.1,0.1,1.6,0,0.900373129,scrappy,Jul
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Corey Brewer,5-Mar-86,81,186,2008,2018,F-G,2,University of Florida,79,22.8,5.8,2.3,6.2,37.4,0.1,0.5,19.4,1.1,1.4,80,1,2.7,3.7,1.4,1,0.3,1.1,1,0.371138701,Power,Mar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,Steve Burtt,5-Nov-62,74,185,1985,1993,G,1,Iona College,47,8.9,4.2,1.5,4,38.3,0,0,0,1.1,1.6,68.8,0.2,0.4,0.6,0.4,0.5,0.1,0.7,0,0.590083204,scrappy,Nov
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,Jason Smith,2-Mar-86,84,245,2008,2018,F-C,2,Colorado State University,76,14.6,4.5,1.9,4.1,45.5,0.1,0.2,28.6,0.7,1.1,65.9,1,2,3,0.3,0.3,0.7,0.6,1,0.423043453,scrappy,Mar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,Sean Elliott,2-Feb-68,80,205,1990,2001,F,1,University of Arizona,81,25.1,10,3.8,8,48.1,0,0.1,11.1,2.3,2.7,86.6,1.6,2.1,3.7,1.9,0.6,0.2,1.4,1,0.931105713,Power,Feb
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,John Thomas,8-Sep-75,81,265,1998,2006,F,1,University of Minnesota,54,9.9,2.8,1,2.1,48.7,0,0,0,0.8,1,75.9,0.9,1.1,2,0.3,0.4,0.2,0.8,1,0.106474083,Power,Sep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Bill Curley,29-May-72,81,220,1995,2001,F,1,Boston College,53,11.2,2.7,1.1,2.5,43.3,0,0,0,0.5,0.7,75,1,1.3,2.3,0.5,0.4,0.4,0.5,1,0.581962555,Mid,May
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Carey Scurry,4-Dec-62,79,188,1986,1988,F,1,Long Island University,78,15,4.7,1.8,3.9,47.2,0,0.1,9.1,1,1.6,61.9,1.2,1.9,3.1,1.1,1,0.8,1.2,0,0.705626999,scrappy,Dec
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,C.J. Watson,17-Apr-84,74,175,2008,2017,G,1,University of Tennessee,32,11.5,3.7,1.3,3.2,42.6,0.3,0.8,34.6,0.7,0.9,79.3,0.4,0.6,1,1.1,0.5,0,0.6,1,0.557119595,Power,Apr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,Harold Ellis,7-Oct-70,77,200,1994,1998,G,1,Morehouse College,49,18.8,8.7,3.2,6,54.5,0,0.1,0,2.2,3,71.1,1.9,1.2,3.1,0.6,1.5,0,0.9,0,0.103686591,scrappy,Oct
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
